id,Index,Feature
0,7,"[23, 19, 19, 6, 5, 5, 5]"
1,8,"[11, 11, 11, 11]"
2,9,"[29, 28, 28, 26, 25, 25, 10, 10]"
3,10,"[28, 27, 11, 11]"
4,11,"[14, 11, 11, 6, 6, 6, 5, 5, 5, 5, 2]"
5,12,"[19, 5, 5, 5]"
6,13,"[28, 27, 25, 25, 23, 6, 6]"
7,14,"[27, 27, 26, 26, 26, 26, 25, 25, 23, 23, 17, 17, 17, 17, 5, 5, 5, 5]"
8,15,"[16, 16, 14, 14, 11, 11]"
9,16,"[5, 5, 5, 5]"
10,17,"[32, 32, 32, 32, 30, 30, 26, 26, 17, 17, 17, 17, 11, 11, 11, 6, 5, 5, 5, 5]"
11,18,"[20, 19, 19, 11, 7, 7, 2, 2, 2, 2]"
12,30,"[27, 11, 11, 11]"
13,31,"[26, 14, 11, 6]"
14,32,"[19, 11, 11, 6, 5, 5]"
15,33,"[11, 11, 11, 6]"
16,34,"[28, 27, 11, 5]"
