id,Index,Answers,Category
0,1,A,Oscillation_and_electromagnetic_waves
1,2,A,Oscillation_and_electromagnetic_waves
2,3,C,Alternating_current
3,4,A,Atomic_nucleus
4,5,C,Atomic_nucleus
5,6,C,Quantum_of_light
6,7,D,Mechanical_waves
7,8,D,Mechanical_waves
8,9,C,Light_waves
9,10,C,Light_waves
10,11,D,Quantum_of_light
11,12,D,Quantum_of_light
12,13,C,Oscillation_and_electromagnetic_waves
13,14,C,Mechanical_waves
14,15,D,Atomic_nucleus
15,16,D,Mechanical_waves
16,17,D,Mechanical_oscillation
17,18,D,Light_waves
18,19,A,Quantum_of_light
19,20,D,Mechanical_waves
20,21,D,Alternating_current
21,22,D,Atomic_nucleus
22,23,C,Mechanical_oscillation
23,24,C,Light_waves
24,25,D,Quantum_of_light
25,26,D,Atomic_nucleus
26,27,C,Mechanical_waves
27,28,C,Atomic_nucleus
28,29,D,Oscillation_and_electromagnetic_waves
29,30,D,Oscillation_and_electromagnetic_waves
30,31,C,Oscillation_and_electromagnetic_waves
31,32,C,Alternating_current
32,33,B,Alternating_current
33,34,B,Atomic_nucleus
34,35,B,Atomic_nucleus
35,36,B,Atomic_nucleus
36,37,B,Atomic_nucleus
37,38,B,Mechanical_waves
38,39,B,Light_waves
39,40,B,Light_waves
