id,Feature,Lable
0,"[19, 11, 11, 11]",12
1,"[11, 11, 11, 11]",12
2,"[19, 19, 11, 11]",0
3,"[28, 25, 25, 25, 25, 25, 25, 25, 25, 23, 19, 19, 19, 18, 17, 17, 17, 17, 11, 11, 11, 11, 11, 10, 10, 10, 6, 6, 5, 5, 5, 2, 2, 2, 2, 0]",6
4,"[29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 26, 26, 26, 25, 25, 25, 25, 25, 23, 10, 10, 10, 10]",26
5,"[28, 28, 28, 28, 28, 26, 25, 25, 22, 22, 22, 22, 22, 22, 22, 19]",14
6,"[32, 32, 30, 19, 19, 19, 19, 17, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2]",19
7,"[30, 29, 29, 26, 25, 23, 20, 19, 19, 18, 17, 17, 17, 17, 17, 17, 14, 14, 14, 11, 11, 6, 5, 5, 5, 5]",6
8,"[11, 11, 11, 11]",14
9,"[25, 25, 25, 11]",14
10,"[19, 19, 19, 19]",14
11,"[11, 11, 11, 11]",14
12,"[7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 2, 2, 0, 0, 0, 0]",3
13,"[28, 28, 26, 11]",25
14,"[11, 11, 11, 11]",12
15,"[23, 5, 5, 5]",15
16,"[19, 5, 5, 5]",5
17,"[11, 11, 11, 11]",25
18,"[19, 5, 5, 0]",5
19,"[6, 6, 6, 6]",0
20,"[19, 19, 19, 5]",0
21,"[28, 28, 28, 28]",25
22,"[32, 31, 5, 2]",19
23,"[5, 5, 5, 5]",15
24,"[28, 11, 11, 6]",9
25,"[14, 14, 14, 11]",12
26,"[11, 11, 11, 11]",12
27,"[11, 11, 11, 6]",12
28,"[11, 5, 5, 5]",15
29,"[27, 27, 27, 27, 22, 22, 22, 22]",14
30,"[11, 11, 11, 11]",12
31,"[19, 19, 14, 14, 11, 11, 11, 11, 0, 0, 0, 0]",12
32,"[29, 29, 28, 28, 28, 28, 25, 6]",26
33,"[29, 29, 28, 26, 25, 25, 25, 25, 25, 25, 23, 23, 19, 19, 19, 19, 11]",26
34,"[11, 11, 11, 11, 11, 11, 11, 11, 6, 6, 6, 6, 6, 6, 6, 6]",0
35,"[11, 11, 11, 11]",12
36,"[34, 30, 30, 26, 25, 23, 19, 19, 17, 17, 17, 14, 11, 11, 6, 5, 5, 2, 2, 2]",6
37,"[14, 14, 14, 14, 14, 14, 11, 11, 5, 5]",12
38,"[29, 25, 25, 25, 25, 25, 25, 19, 19, 18, 17, 17, 17, 17, 17, 17, 14, 11, 11, 11, 11, 10, 10, 10, 10, 6, 2, 2, 1]",6
39,"[30, 14, 14, 14]",12
40,"[28, 28, 26, 11]",25
41,"[27, 11, 11, 6]",12
42,"[19, 5, 5, 0]",5
43,"[19, 5, 5, 5, 5]",5
44,"[26, 26, 26, 22, 22, 22, 11, 5]",14
45,"[29, 29, 25, 19, 19, 17, 17, 17, 17, 10]",24
46,"[28, 28, 28, 28, 27, 27, 25, 25, 25, 25, 10, 10, 10, 10]",26
